client_id,cutoff_date,target_next_recurring_merchant,confidence,label_unsup,label_chatgpt,label_trainonly,conf_unsup,conf_chatgpt,conf_trainonly,n_sources_agree
U002383,2026-01-01,insurance,0.9754,insurance,gym,insurance,0.4823,0.75,0.7615,2
U002384,2026-01-01,gym,0.9996,gym,gym,gym,0.5444,0.85,0.4588,3
U002385,2026-01-01,mobile,0.9877,cloud,mobile,mobile,1.0,0.85,0.909,2
U002386,2026-01-01,none,0.6107,none,software,none,0.4501,0.75,0.997,2
U002387,2026-01-01,insurance,0.8402,insurance,insurance,software,0.4041,0.85,0.5252,2
U002388,2026-01-01,insurance,0.5261,none,insurance,cloud,0.3144,0.75,0.4809,1
U002389,2026-01-01,insurance,0.9998,insurance,insurance,insurance,1.0,0.9,0.8925,3
U002390,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.3635,0.85,0.4429,3
U002391,2026-01-01,music,0.9952,none,music,music,1.0,0.9,0.6968,2
U002392,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.533,0.85,0.4114,3
U002393,2026-01-01,none,0.9872,none,none,none,0.7576,0.9,0.9943,3
U002394,2026-01-01,music,0.9258,music,mobile,music,0.4126,0.75,0.651,2
U002395,2026-01-01,music,0.9999,music,music,music,0.2193,0.85,0.5819,3
U002396,2026-01-01,mobile,0.4103,cloud,mobile,none,0.6367,0.85,0.3926,1
U002397,2026-01-01,gym,0.99,none,gym,gym,0.3483,0.85,0.5063,2
U002398,2026-01-01,music,0.9687,music,music,none,0.4526,0.75,0.9639,2
U002399,2026-01-01,insurance,0.7078,none,insurance,gym,0.4646,0.75,0.4278,1
U002400,2026-01-01,music,0.9909,music,none,music,0.4478,0.6000000000000001,0.5614,2
U002401,2026-01-01,software,0.9973,none,software,software,0.3303,0.85,0.4279,2
U002402,2026-01-01,streaming,0.9955,cloud,streaming,streaming,0.2321,0.85,0.5357,2
U002403,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.8555,0.85,0.69,3
U002404,2026-01-01,none,0.946,gym,none,none,0.7278,0.8,0.8601,2
U002405,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.3299,0.85,0.8102,3
U002406,2026-01-01,streaming,0.9481,streaming,cloud,streaming,0.5988,0.85,0.475,2
U002407,2026-01-01,none,0.8193,none,gym,none,0.4266,0.85,0.9852,2
U002408,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.3984,0.85,0.4554,3
U002409,2026-01-01,gym,0.99,none,gym,gym,0.3558,0.85,0.5254,2
U002410,2026-01-01,cloud,0.9948,software,cloud,cloud,0.4649,0.85,0.5222,2
U002411,2026-01-01,music,0.9687,music,music,none,1.0,0.75,0.4193,2
U002412,2026-01-01,music,0.9999,music,music,music,0.402,0.85,0.5894,3
U002413,2026-01-01,software,0.9996,software,software,software,0.8,0.85,0.9092,3
U002414,2026-01-01,software,0.9904,insurance,software,software,1.0,0.85,0.4304,2
U002415,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.5932,0.85,0.9101,3
U002416,2026-01-01,none,0.8193,none,gym,none,0.4466,0.75,0.993,2
U002417,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.4446,0.85,0.5286,3
U002418,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.4,0.85,0.7187,3
U002419,2026-01-01,gym,0.99,none,gym,gym,0.6667,0.75,0.6601,2
U002420,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.7175,0.85,0.6762,3
U002421,2026-01-01,none,0.9872,none,none,none,0.3021,0.8,0.9507,3
U002422,2026-01-01,software,0.615,gym,software,none,0.295,0.7000000000000001,0.8943,1
U002423,2026-01-01,none,0.8525,none,mobile,none,0.3674,0.75,0.9983,2
U002424,2026-01-01,music,0.5619,insurance,music,none,0.3782,0.85,0.9579,1
U002425,2026-01-01,gym,0.9996,gym,gym,gym,0.2992,0.75,0.7434,3
U002426,2026-01-01,none,0.3814,streaming,gym,none,0.3674,0.7000000000000001,0.7562,1
U002427,2026-01-01,none,0.8525,none,mobile,none,0.4392,0.7000000000000001,0.9989,2
U002428,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.5,0.9,0.5746,3
U002429,2026-01-01,none,0.8525,none,mobile,none,0.5085,0.85,0.8631,2
U002430,2026-01-01,none,0.7149,none,music,none,0.3805,0.85,0.9614,2
U002431,2026-01-01,none,0.5977,insurance,mobile,none,0.4733,0.75,0.5021,1
U002432,2026-01-01,mobile,0.9597,mobile,software,mobile,0.3385,0.75,0.523,2
U002433,2026-01-01,gym,0.9996,gym,gym,gym,1.0,0.9,0.853,3
U002434,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.6781,0.85,0.6971,3
U002435,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.6667,0.85,0.916,3
U002436,2026-01-01,mobile,0.6311,none,insurance,mobile,0.3758,0.85,0.4147,1
U002437,2026-01-01,cloud,0.9964,none,cloud,cloud,0.2944,0.85,0.3712,2
U002438,2026-01-01,mobile,0.9911,music,mobile,mobile,0.4148,0.85,0.6122,2
U002439,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.4898,0.85,0.7332,3
U002440,2026-01-01,software,0.8578,software,software,none,0.315,0.75,0.9993,2
U002441,2026-01-01,insurance,0.6874,streaming,insurance,gym,0.3438,0.7000000000000001,0.4048,1
U002442,2026-01-01,streaming,0.9949,music,streaming,streaming,0.3801,0.85,0.7345,2
U002443,2026-01-01,insurance,0.9394,insurance,mobile,insurance,0.4085,0.85,0.435,2
U002444,2026-01-01,none,0.8343,none,cloud,none,0.589,0.75,0.8217,2
U002445,2026-01-01,mobile,0.9892,streaming,mobile,mobile,0.5323,0.85,0.5267,2
U002446,2026-01-01,none,0.9872,none,none,none,0.5186,0.85,0.9946,3
U002447,2026-01-01,none,0.8193,none,gym,none,0.3739,0.85,0.986,2
U002448,2026-01-01,software,0.9973,none,software,software,0.3377,0.85,0.8393,2
U002449,2026-01-01,cloud,0.9964,none,cloud,cloud,0.3686,0.85,0.6617,2
U002450,2026-01-01,software,0.8547,software,software,cloud,0.3231,0.85,0.5761,2
U002451,2026-01-01,streaming,0.9962,gym,streaming,streaming,0.4092,0.85,0.5916,2
U002452,2026-01-01,none,0.9872,none,none,none,0.7576,0.9,0.9798,3
U002453,2026-01-01,none,0.6112,none,insurance,none,0.6114,0.75,1.0,2
U002454,2026-01-01,gym,0.9931,music,gym,gym,0.4718,0.85,0.5294,2
U002455,2026-01-01,gym,0.987,insurance,gym,gym,0.2848,0.85,0.4217,2
U002456,2026-01-01,none,0.646,software,cloud,none,0.3502,0.75,0.9994,1
U002457,2026-01-01,music,0.991,cloud,music,music,0.4033,0.75,0.7436,2
U002458,2026-01-01,streaming,0.995,insurance,streaming,streaming,0.3481,0.85,0.3238,2
U002459,2026-01-01,gym,0.9891,cloud,gym,gym,0.4727,0.75,0.7654,2
U002460,2026-01-01,gym,0.987,insurance,gym,gym,0.5219,0.85,0.4979,2
U002461,2026-01-01,gym,0.8556,gym,gym,streaming,0.324,0.85,0.3648,2
U002462,2026-01-01,music,0.9932,streaming,music,music,0.4602,0.85,0.4815,2
U002463,2026-01-01,streaming,0.9965,none,streaming,streaming,1.0,0.85,0.9243,2
U002464,2026-01-01,none,0.8834,streaming,none,none,0.5244,0.9,0.854,2
U002465,2026-01-01,none,0.9872,none,none,none,0.7576,0.9,0.9478,3
U002466,2026-01-01,none,0.8193,none,gym,none,0.5183,0.7000000000000001,0.9681,2
U002467,2026-01-01,streaming,0.496,insurance,streaming,none,0.3199,0.75,0.9071,1
U002468,2026-01-01,gym,0.99,none,gym,gym,0.3828,0.85,0.4953,2
U002469,2026-01-01,music,0.9999,music,music,music,0.3863,0.85,0.8373,3
U002470,2026-01-01,none,0.4873,streaming,cloud,none,0.304,0.85,0.932,1
U002471,2026-01-01,software,0.9996,software,software,software,0.5002,0.85,0.6936,3
U002472,2026-01-01,none,0.4682,mobile,software,none,0.4319,0.75,0.6316,1
U002473,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.6046,0.7000000000000001,0.3374,3
U002474,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.7704,0.85,0.8433,3
U002475,2026-01-01,music,0.9943,insurance,music,music,0.4524,0.85,0.8088,2
U002476,2026-01-01,cloud,0.9704,cloud,mobile,cloud,0.4582,0.75,0.5384,2
U002477,2026-01-01,software,0.8578,software,software,none,0.3663,0.85,0.6558,2
U002478,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.5,0.85,0.8756,3
U002479,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.3776,0.75,0.4622,3
U002480,2026-01-01,gym,0.9931,music,gym,gym,0.4835,0.85,0.4641,2
U002481,2026-01-01,cloud,0.9942,cloud,none,cloud,0.6629,0.6000000000000001,0.4956,2
U002482,2026-01-01,none,0.9872,none,none,none,0.7576,0.9,0.9965,3
U002483,2026-01-01,music,0.9952,none,music,music,0.3832,0.85,0.6326,2
U002484,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.2787,0.85,0.4732,3
U002485,2026-01-01,music,0.9943,insurance,music,music,0.3557,0.85,0.8124,2
U002486,2026-01-01,music,0.9999,music,music,music,0.5179,0.85,0.7346,3
U002487,2026-01-01,software,0.9903,mobile,software,software,0.4514,0.85,0.7294,2
U002488,2026-01-01,streaming,0.995,insurance,streaming,streaming,0.2222,0.85,0.4987,2
U002489,2026-01-01,none,0.8525,none,mobile,none,0.3798,0.85,0.8925,2
U002490,2026-01-01,cloud,0.7879,none,mobile,cloud,0.5915,0.75,0.3641,1
U002491,2026-01-01,gym,0.8344,gym,gym,none,0.6751,0.75,0.9982,2
U002492,2026-01-01,streaming,0.9998,streaming,streaming,streaming,1.0,0.85,0.9295,3
U002493,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.5595,0.85,0.8819,3
U002494,2026-01-01,insurance,0.9754,insurance,gym,insurance,0.3976,0.7000000000000001,0.4981,2
U002495,2026-01-01,none,0.8525,none,mobile,none,0.2816,0.8,0.9999,2
U002496,2026-01-01,music,0.9999,music,music,music,0.5091,0.85,0.8112,3
U002497,2026-01-01,cloud,0.9942,cloud,none,cloud,0.4924,0.85,0.8502,2
U002498,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.337,0.85,0.4642,3
U002499,2026-01-01,gym,0.9113,gym,gym,cloud,0.3855,0.85,0.4451,2
U002500,2026-01-01,gym,0.9785,mobile,gym,gym,0.3126,0.75,0.5543,2
U002501,2026-01-01,software,0.7475,none,mobile,software,0.6066,0.85,0.3311,1
U002502,2026-01-01,music,0.991,cloud,music,music,0.4512,0.75,0.543,2
U002503,2026-01-01,insurance,0.9365,insurance,insurance,none,0.4208,0.75,0.9396,2
U002504,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.2948,0.85,0.523,3
U002505,2026-01-01,none,0.9872,none,none,none,0.5759,0.9,0.9998,3
U002506,2026-01-01,cloud,0.9964,none,cloud,cloud,0.424,0.85,0.3186,2
U002507,2026-01-01,mobile,0.9921,mobile,none,mobile,0.4296,0.7000000000000001,0.5997,2
U002508,2026-01-01,none,0.9872,none,none,none,0.7576,0.9,0.9183,3
U002509,2026-01-01,mobile,0.7561,none,gym,mobile,0.3982,0.75,0.5909,1
U002510,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.3845,0.85,0.6063,3
U002511,2026-01-01,insurance,0.9242,insurance,music,insurance,0.3673,0.85,0.3723,2
U002512,2026-01-01,software,0.9996,software,software,software,0.8,0.85,0.8525,3
U002513,2026-01-01,mobile,0.9948,none,mobile,mobile,0.5785,0.85,0.4986,2
U002514,2026-01-01,gym,0.9996,gym,gym,gym,0.4148,0.85,0.6735,3
U002515,2026-01-01,gym,0.9996,gym,gym,gym,0.5638,0.85,0.8531,3
U002516,2026-01-01,software,0.9973,none,software,software,0.3912,0.85,0.8729,2
U002517,2026-01-01,mobile,0.9877,cloud,mobile,mobile,1.0,0.85,0.8644,2
U002518,2026-01-01,music,0.9909,music,none,music,0.5805,0.9,0.7456,2
U002519,2026-01-01,streaming,0.9475,streaming,streaming,none,0.75,0.75,0.7306,2
U002520,2026-01-01,none,0.6112,none,insurance,none,0.3961,0.85,0.5573,2
U002521,2026-01-01,streaming,0.4868,none,gym,streaming,0.3812,0.7000000000000001,0.4122,1
U002522,2026-01-01,music,0.9348,music,music,cloud,0.3781,0.85,0.521,2
U002523,2026-01-01,mobile,0.9948,none,mobile,mobile,0.3034,0.85,0.4415,2
U002524,2026-01-01,none,0.666,none,streaming,none,0.4822,0.75,0.8084,2
U002525,2026-01-01,mobile,0.8277,mobile,mobile,none,0.5402,0.85,0.5114,2
U002526,2026-01-01,insurance,0.9962,streaming,insurance,insurance,0.3587,0.7000000000000001,0.3033,2
U002527,2026-01-01,software,0.5625,none,software,cloud,0.439,0.85,0.4351,1
U002528,2026-01-01,gym,0.99,none,gym,gym,0.338,0.85,0.5806,2
U002529,2026-01-01,mobile,0.9911,music,mobile,mobile,0.6453,0.85,0.6083,2
U002530,2026-01-01,none,0.9872,none,none,none,0.6946,0.8,0.9833,3
U002531,2026-01-01,insurance,0.9365,insurance,insurance,none,1.0,0.7000000000000001,0.9862,2
U002532,2026-01-01,none,0.6107,none,software,none,0.3588,0.75,0.3532,2
U002533,2026-01-01,insurance,0.9881,insurance,none,insurance,0.4109,0.6000000000000001,0.7639,2
U002534,2026-01-01,mobile,0.9997,mobile,mobile,mobile,1.0,0.85,0.9015,3
U002535,2026-01-01,none,0.8343,none,cloud,none,0.4574,0.85,0.5704,2
U002536,2026-01-01,cloud,0.6823,music,gym,cloud,0.2958,0.7000000000000001,0.4055,1
U002537,2026-01-01,software,0.7475,none,mobile,software,0.4918,0.7000000000000001,0.6866,1
U002538,2026-01-01,cloud,0.9924,insurance,cloud,cloud,0.3676,0.85,0.5971,2
U002539,2026-01-01,none,0.9872,none,none,none,0.7576,0.9,0.8349,3
U002540,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.4531,0.85,0.597,3
U002541,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.6226,0.85,0.6529,3
U002542,2026-01-01,cloud,0.9964,none,cloud,cloud,0.3913,0.75,0.427,2
U002543,2026-01-01,music,0.9999,music,music,music,0.3237,0.85,0.4589,3
U002544,2026-01-01,mobile,0.9948,none,mobile,mobile,0.3074,0.85,0.644,2
U002545,2026-01-01,none,0.9431,software,none,none,0.4743,0.9,0.9975,2
U002546,2026-01-01,gym,0.9931,music,gym,gym,0.4991,0.85,0.5516,2
U002547,2026-01-01,none,0.9872,none,none,none,0.7576,0.9,0.9985,3
U002548,2026-01-01,software,0.9904,insurance,software,software,0.3605,0.85,0.4765,2
U002549,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.4924,0.85,0.6248,3
U002550,2026-01-01,none,0.8525,none,mobile,none,0.3748,0.75,0.928,2
U002551,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.61,0.85,0.9195,3
U002552,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.4507,0.85,0.5551,3
U002553,2026-01-01,software,0.8547,software,software,cloud,0.5045,0.85,0.5491,2
U002554,2026-01-01,software,0.9973,none,software,software,0.6052,0.75,0.4631,2
U002555,2026-01-01,none,0.6107,none,software,none,0.7105,0.6000000000000001,0.9761,2
U002556,2026-01-01,gym,0.9931,music,gym,gym,0.3375,0.85,0.7288,2
U002557,2026-01-01,none,0.8343,none,cloud,none,0.5483,0.85,0.8068,2
U002558,2026-01-01,none,0.8343,none,cloud,none,0.4215,0.85,0.9693,2
U002559,2026-01-01,mobile,0.9948,none,mobile,mobile,0.5325,0.85,0.6003,2
U002560,2026-01-01,cloud,0.9964,none,cloud,cloud,0.3753,0.85,0.8994,2
U002561,2026-01-01,music,0.9687,music,music,none,0.3649,0.85,0.7249,2
U002562,2026-01-01,software,0.9951,streaming,software,software,0.2731,0.85,0.4887,2
U002563,2026-01-01,music,0.9999,music,music,music,0.3906,0.85,0.5659,3
U002564,2026-01-01,none,0.9872,none,none,none,0.5,0.9,0.7316,3
U002565,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.5485,0.85,0.5146,3
U002566,2026-01-01,cloud,0.9964,none,cloud,cloud,1.0,0.85,0.8936,2
U002567,2026-01-01,gym,0.9931,music,gym,gym,0.5693,0.85,0.6239,2
U002568,2026-01-01,cloud,0.8111,none,cloud,mobile,0.2678,0.8,0.337,1
U002569,2026-01-01,none,0.666,none,streaming,none,0.349,0.75,0.4544,2
U002570,2026-01-01,mobile,0.8277,mobile,mobile,none,0.4316,0.85,0.7976,2
U002571,2026-01-01,cloud,0.9964,none,cloud,cloud,0.5917,0.85,0.598,2
U002572,2026-01-01,software,0.5749,streaming,software,none,0.4349,0.75,0.3657,1
U002573,2026-01-01,none,0.4327,insurance,gym,none,0.4143,0.85,0.941,1
U002574,2026-01-01,none,0.9431,software,none,none,0.7805,0.9,0.9993,2
U002575,2026-01-01,none,0.946,gym,none,none,0.3229,0.9,0.9186,2
U002576,2026-01-01,none,0.6107,none,software,none,0.3458,0.7000000000000001,0.809,2
U002577,2026-01-01,mobile,0.9997,mobile,mobile,mobile,1.0,0.7000000000000001,0.7376,3
U002578,2026-01-01,software,0.7887,none,insurance,software,0.2668,0.75,0.3643,1
U002579,2026-01-01,music,0.9999,music,music,music,0.4371,0.85,0.5341,3
U002580,2026-01-01,software,0.5749,streaming,software,none,0.313,0.7000000000000001,0.9914,1
U002581,2026-01-01,cloud,0.9964,none,cloud,cloud,0.4934,0.85,0.828,2
U002582,2026-01-01,gym,0.987,insurance,gym,gym,0.374,0.75,0.8041,2
U002583,2026-01-01,cloud,0.9946,streaming,cloud,cloud,0.3121,0.85,0.3969,2
U002584,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.4636,0.85,0.5849,3
U002585,2026-01-01,none,0.9872,none,none,none,0.4071,0.6000000000000001,0.344,3
U002586,2026-01-01,gym,0.9996,gym,gym,gym,0.7608,0.85,0.8637,3
U002587,2026-01-01,none,0.9872,none,none,none,0.4315,0.7000000000000001,0.488,3
U002588,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.3172,0.85,0.548,3
U002589,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.3444,0.75,0.6041,3
U002590,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.6844,0.85,0.9075,3
U002591,2026-01-01,gym,0.9996,gym,gym,gym,0.5,0.9,0.8727,3
U002592,2026-01-01,streaming,0.9965,none,streaming,streaming,0.3407,0.85,0.3632,2
U002593,2026-01-01,none,0.946,gym,none,none,0.7278,0.9,0.847,2
U002594,2026-01-01,music,0.9999,music,music,music,0.4787,0.85,0.4952,3
U002595,2026-01-01,none,0.4442,music,mobile,none,0.3457,0.75,0.8977,1
U002596,2026-01-01,gym,0.9996,gym,gym,gym,0.3298,0.75,0.5405,3
U002597,2026-01-01,none,0.6107,none,software,none,0.3945,0.75,0.5212,2
U002598,2026-01-01,insurance,0.8325,none,gym,insurance,0.5734,0.75,0.5237,1
U002599,2026-01-01,software,0.9996,software,software,software,0.4883,0.85,0.7178,3
U002600,2026-01-01,cloud,0.8893,cloud,cloud,none,0.5,0.75,0.9563,2
U002601,2026-01-01,none,0.4327,insurance,gym,none,0.3524,0.85,0.9469,1
U002602,2026-01-01,software,0.9951,streaming,software,software,0.4095,0.85,0.3439,2
U002603,2026-01-01,gym,0.99,none,gym,gym,0.3132,0.75,0.4284,2
U002604,2026-01-01,none,0.8193,none,gym,none,0.4719,0.85,0.974,2
U002605,2026-01-01,mobile,0.8277,mobile,mobile,none,0.4296,0.75,0.4338,2
U002606,2026-01-01,gym,0.9996,gym,gym,gym,1.0,0.85,0.9051,3
U002607,2026-01-01,none,0.8789,cloud,none,none,0.5435,0.9,0.959,2
U002608,2026-01-01,none,0.9872,none,none,none,0.7576,0.9,0.9672,3
U002609,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.4542,0.85,0.4612,3
U002610,2026-01-01,music,0.9932,streaming,music,music,0.255,0.75,0.5919,2
U002611,2026-01-01,mobile,0.9948,none,mobile,mobile,0.5269,0.85,0.723,2
U002612,2026-01-01,cloud,0.9924,insurance,cloud,cloud,0.5062,0.85,0.5791,2
U002613,2026-01-01,music,0.9999,music,music,music,0.5254,0.9,0.8787,3
U002614,2026-01-01,none,0.8193,none,gym,none,0.3804,0.85,0.9617,2
U002615,2026-01-01,cloud,0.9946,streaming,cloud,cloud,0.3716,0.75,0.4176,2
U002616,2026-01-01,none,0.4957,insurance,software,none,0.3195,0.7000000000000001,0.9993,1
U002617,2026-01-01,gym,0.9891,cloud,gym,gym,0.6563,0.85,0.4699,2
U002618,2026-01-01,none,0.8525,none,mobile,none,0.4323,0.85,0.3602,2
U002619,2026-01-01,gym,0.9931,music,gym,gym,0.4923,0.85,0.5086,2
U002620,2026-01-01,none,0.9872,none,none,none,0.4573,0.9,0.9618,3
U002621,2026-01-01,software,0.8578,software,software,none,0.4626,0.85,0.8133,2
U002622,2026-01-01,none,0.6112,none,insurance,none,0.3497,0.75,0.7514,2
U002623,2026-01-01,software,0.9996,software,software,software,0.6253,0.85,0.5438,3
U002624,2026-01-01,gym,0.9891,cloud,gym,gym,0.4243,0.85,0.6491,2
U002625,2026-01-01,mobile,0.9877,cloud,mobile,mobile,0.4699,0.85,0.6356,2
U002626,2026-01-01,insurance,0.9977,none,insurance,insurance,0.3364,0.85,0.7004,2
U002627,2026-01-01,streaming,0.995,insurance,streaming,streaming,0.3527,0.75,0.5506,2
U002628,2026-01-01,software,0.9996,software,software,software,0.8,0.85,0.8433,3
U002629,2026-01-01,music,0.9999,music,music,music,0.328,0.85,0.5247,3
U002630,2026-01-01,streaming,0.995,insurance,streaming,streaming,0.2811,0.85,0.3748,2
U002631,2026-01-01,cloud,0.9573,cloud,streaming,cloud,0.3553,0.85,0.4124,2
U002632,2026-01-01,music,0.9999,music,music,music,0.3756,0.85,0.7832,3
U002633,2026-01-01,gym,0.988,streaming,gym,gym,0.4659,0.7000000000000001,0.3691,2
U002634,2026-01-01,mobile,0.9948,none,mobile,mobile,0.6498,0.85,0.873,2
U002635,2026-01-01,insurance,0.9365,insurance,insurance,none,0.4015,0.85,0.8333,2
U002636,2026-01-01,software,0.9973,none,software,software,0.4019,0.85,0.5473,2
U002637,2026-01-01,none,0.4957,insurance,software,none,0.3243,0.7000000000000001,0.9997,1
U002638,2026-01-01,none,0.8193,none,gym,none,0.4154,0.75,0.9995,2
U002639,2026-01-01,mobile,0.9948,none,mobile,mobile,0.4285,0.85,0.6027,2
U002640,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.4187,0.9,0.3774,3
U002641,2026-01-01,software,0.7475,none,mobile,software,0.3297,0.85,0.4602,1
U002642,2026-01-01,mobile,0.4103,cloud,mobile,none,0.4426,0.7000000000000001,0.7505,1
U002643,2026-01-01,music,0.9999,music,music,music,0.3568,0.85,0.4776,3
U002644,2026-01-01,none,0.8193,none,gym,none,0.5921,0.75,0.9925,2
U002645,2026-01-01,gym,0.988,streaming,gym,gym,0.5805,0.85,0.8417,2
U002646,2026-01-01,cloud,0.4832,music,cloud,none,0.3676,0.75,0.9006,1
U002647,2026-01-01,streaming,0.9998,streaming,streaming,streaming,1.0,0.85,0.8437,3
U002648,2026-01-01,none,0.6107,none,software,none,0.6017,0.75,1.0,2
U002649,2026-01-01,mobile,0.9948,none,mobile,mobile,0.3896,0.85,0.5405,2
U002650,2026-01-01,none,0.9872,none,none,none,0.3782,0.9,0.9997,3
U002651,2026-01-01,none,0.8561,music,none,none,0.5714,0.7000000000000001,0.8724,2
U002652,2026-01-01,none,0.9872,none,none,none,0.7576,0.9,0.999,3
U002653,2026-01-01,streaming,0.8548,streaming,streaming,cloud,0.4057,0.75,0.7705,2
U002654,2026-01-01,insurance,0.9998,insurance,insurance,insurance,1.0,0.85,0.8353,3
U002655,2026-01-01,cloud,0.5356,none,music,cloud,0.2609,0.7000000000000001,0.4417,1
U002656,2026-01-01,none,0.9186,mobile,none,none,0.4183,0.9,0.9653,2
U002657,2026-01-01,music,0.9728,music,gym,music,0.4973,0.75,0.544,2
U002658,2026-01-01,gym,0.4753,none,none,gym,0.4583,0.8,0.5502,1
U002659,2026-01-01,none,0.946,gym,none,none,0.711,0.9,0.9578,2
U002660,2026-01-01,mobile,0.9911,music,mobile,mobile,0.4368,0.85,0.5683,2
U002661,2026-01-01,streaming,0.961,streaming,mobile,streaming,0.5691,0.75,0.5733,2
U002662,2026-01-01,cloud,0.9704,cloud,mobile,cloud,0.4583,0.7000000000000001,0.3379,2
U002663,2026-01-01,none,0.8525,none,mobile,none,0.2799,0.75,0.8487,2
U002664,2026-01-01,none,0.8193,none,gym,none,0.358,0.8,0.9102,2
U002665,2026-01-01,none,0.8193,none,gym,none,0.5285,0.7000000000000001,0.763,2
U002666,2026-01-01,music,0.9952,none,music,music,0.3795,0.85,0.6496,2
U002667,2026-01-01,insurance,0.9934,mobile,insurance,insurance,0.5464,0.85,0.5323,2
U002668,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.6916,0.9,0.6622,3
U002669,2026-01-01,none,0.8343,none,cloud,none,0.3869,0.9,0.9991,2
U002670,2026-01-01,gym,0.988,streaming,gym,gym,0.6982,0.85,0.6474,2
U002671,2026-01-01,gym,0.9996,gym,gym,gym,0.5816,0.75,0.7877,3
U002672,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.4496,0.85,0.3056,3
U002673,2026-01-01,none,0.4873,streaming,cloud,none,0.2645,0.85,0.6941,1
U002674,2026-01-01,cloud,0.8435,none,none,cloud,0.8738,0.9,0.7612,1
U002675,2026-01-01,gym,0.9996,gym,gym,gym,0.75,0.85,0.6042,3
U002676,2026-01-01,insurance,0.9365,insurance,insurance,none,0.5,0.9,0.7804,2
U002677,2026-01-01,software,0.9996,software,software,software,0.3721,0.85,0.8835,3
U002678,2026-01-01,none,0.5602,insurance,cloud,none,0.5984,0.85,0.8001,1
U002679,2026-01-01,gym,0.792,gym,streaming,gym,0.7635,0.7000000000000001,0.5258,2
U002680,2026-01-01,insurance,0.9977,none,insurance,insurance,0.4232,0.85,0.7223,2
U002681,2026-01-01,music,0.533,software,music,insurance,0.2472,0.85,0.6047,1
U002682,2026-01-01,music,0.9952,none,music,music,0.3106,0.85,0.4277,2
U002683,2026-01-01,software,0.7831,none,music,software,0.2378,0.7000000000000001,0.4404,1
U002684,2026-01-01,cloud,0.8893,cloud,cloud,none,0.5707,0.85,0.9284,2
U002685,2026-01-01,music,0.9999,music,music,music,0.8119,0.85,0.6067,3
U002686,2026-01-01,streaming,0.9965,none,streaming,streaming,0.3679,0.85,0.4494,2
U002687,2026-01-01,none,0.9872,none,none,none,0.8333,0.9,0.9979,3
U002688,2026-01-01,none,0.8343,none,cloud,none,0.5311,0.75,0.994,2
U002689,2026-01-01,software,0.9903,mobile,software,software,0.4719,0.85,0.7619,2
U002690,2026-01-01,software,0.9973,none,software,software,0.4326,0.85,0.4225,2
U002691,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.4287,0.85,0.5472,3
U002692,2026-01-01,gym,0.8344,gym,gym,none,0.6576,0.7000000000000001,0.7418,2
U002693,2026-01-01,none,0.8343,none,cloud,none,0.3915,0.7000000000000001,0.8917,2
U002694,2026-01-01,mobile,0.9948,none,mobile,mobile,0.367,0.85,0.451,2
U002695,2026-01-01,none,0.8525,none,mobile,none,0.4675,0.85,0.9403,2
U002696,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.5,0.85,0.8169,3
U002697,2026-01-01,none,0.9872,none,none,none,0.7576,0.9,0.8785,3
U002698,2026-01-01,insurance,0.5261,none,insurance,cloud,0.4316,0.7000000000000001,0.5633,1
