client_id,cluster,persona
C001860,0,Subscription regulars
C001863,1,Transfer & cash movers
C001864,0,Subscription regulars
C001866,1,Transfer & cash movers
C001867,0,Subscription regulars
C001871,2,Low-key everyday users
C001873,1,Transfer & cash movers
C001875,1,Transfer & cash movers
C001879,3,High-velocity spenders
C001880,0,Subscription regulars
C001881,1,Transfer & cash movers
C001884,0,Subscription regulars
C001886,0,Subscription regulars
C001891,3,High-velocity spenders
C001893,1,Transfer & cash movers
C001894,0,Subscription regulars
C001896,0,Subscription regulars
C001897,0,Subscription regulars
C001898,3,High-velocity spenders
C001900,1,Transfer & cash movers
C001903,3,High-velocity spenders
C001904,3,High-velocity spenders
C001909,1,Transfer & cash movers
C001911,3,High-velocity spenders
C001914,0,Subscription regulars
C001921,0,Subscription regulars
C001922,3,High-velocity spenders
C001923,1,Transfer & cash movers
C001928,0,Subscription regulars
C001929,2,Low-key everyday users
C001930,3,High-velocity spenders
C001931,2,Low-key everyday users
C001932,3,High-velocity spenders
C001933,0,Subscription regulars
C001934,3,High-velocity spenders
C001935,1,Transfer & cash movers
C001937,3,High-velocity spenders
C001939,2,Low-key everyday users
C001940,0,Subscription regulars
C001942,2,Low-key everyday users
C001943,1,Transfer & cash movers
C001947,0,Subscription regulars
C001948,0,Subscription regulars
C001949,3,High-velocity spenders
C001950,0,Subscription regulars
C001951,1,Transfer & cash movers
C001952,2,Low-key everyday users
C001953,2,Low-key everyday users
C001955,3,High-velocity spenders
C001956,3,High-velocity spenders
C001958,3,High-velocity spenders
C001960,3,High-velocity spenders
C001962,0,Subscription regulars
C001964,2,Low-key everyday users
C001965,3,High-velocity spenders
C001966,1,Transfer & cash movers
C001968,1,Transfer & cash movers
C001970,3,High-velocity spenders
C001973,1,Transfer & cash movers
C001974,0,Subscription regulars
C001975,0,Subscription regulars
C001978,3,High-velocity spenders
C001983,1,Transfer & cash movers
C001984,1,Transfer & cash movers
C001987,2,Low-key everyday users
C001993,2,Low-key everyday users
C001994,1,Transfer & cash movers
C001995,3,High-velocity spenders
C001996,3,High-velocity spenders
C001997,0,Subscription regulars
C002000,1,Transfer & cash movers
C002002,3,High-velocity spenders
C002003,1,Transfer & cash movers
C002004,3,High-velocity spenders
C002005,3,High-velocity spenders
C002008,3,High-velocity spenders
C002010,3,High-velocity spenders
C002012,0,Subscription regulars
C002013,0,Subscription regulars
C002014,0,Subscription regulars
C002015,1,Transfer & cash movers
C002020,0,Subscription regulars
C002021,0,Subscription regulars
C002022,0,Subscription regulars
C002024,3,High-velocity spenders
C002025,3,High-velocity spenders
C002026,0,Subscription regulars
C002028,2,Low-key everyday users
C002031,1,Transfer & cash movers
C002033,1,Transfer & cash movers
C002037,0,Subscription regulars
C002039,2,Low-key everyday users
C002040,3,High-velocity spenders
C002041,3,High-velocity spenders
C002042,3,High-velocity spenders
C002044,1,Transfer & cash movers
C002045,0,Subscription regulars
C002046,1,Transfer & cash movers
C002049,0,Subscription regulars
C002050,1,Transfer & cash movers
C002051,3,High-velocity spenders
C002053,1,Transfer & cash movers
C002056,2,Low-key everyday users
C002057,3,High-velocity spenders
C002061,3,High-velocity spenders
C002064,0,Subscription regulars
C002067,0,Subscription regulars
C002068,0,Subscription regulars
C002069,0,Subscription regulars
C002072,1,Transfer & cash movers
C002074,3,High-velocity spenders
C002075,2,Low-key everyday users
C002076,3,High-velocity spenders
C002078,3,High-velocity spenders
C002079,1,Transfer & cash movers
C002081,0,Subscription regulars
C002082,1,Transfer & cash movers
C002084,3,High-velocity spenders
C002085,1,Transfer & cash movers
C002086,3,High-velocity spenders
C002088,3,High-velocity spenders
C002089,1,Transfer & cash movers
C002091,3,High-velocity spenders
C002094,3,High-velocity spenders
C002095,1,Transfer & cash movers
C002097,1,Transfer & cash movers
C002098,2,Low-key everyday users
C002100,0,Subscription regulars
C002101,0,Subscription regulars
C002103,3,High-velocity spenders
C002104,1,Transfer & cash movers
C002108,0,Subscription regulars
C002111,3,High-velocity spenders
C002113,3,High-velocity spenders
C002115,1,Transfer & cash movers
C002116,3,High-velocity spenders
C002117,3,High-velocity spenders
C002118,1,Transfer & cash movers
C002119,3,High-velocity spenders
C002121,0,Subscription regulars
C002122,3,High-velocity spenders
C002124,1,Transfer & cash movers
C002126,0,Subscription regulars
C002127,1,Transfer & cash movers
C002128,1,Transfer & cash movers
C002129,0,Subscription regulars
C002134,1,Transfer & cash movers
C002136,1,Transfer & cash movers
C002138,3,High-velocity spenders
C002139,2,Low-key everyday users
C002142,0,Subscription regulars
C002144,1,Transfer & cash movers
C002146,1,Transfer & cash movers
C002147,1,Transfer & cash movers
C002148,1,Transfer & cash movers
C002149,0,Subscription regulars
C002150,1,Transfer & cash movers
C002151,2,Low-key everyday users
C002153,2,Low-key everyday users
C002154,0,Subscription regulars
C002157,0,Subscription regulars
C002158,1,Transfer & cash movers
C002160,1,Transfer & cash movers
C002162,0,Subscription regulars
C002163,2,Low-key everyday users
C002165,0,Subscription regulars
C002166,1,Transfer & cash movers
C002167,3,High-velocity spenders
C002168,3,High-velocity spenders
C002172,1,Transfer & cash movers
C002173,2,Low-key everyday users
C002174,2,Low-key everyday users
C002175,0,Subscription regulars
C002176,0,Subscription regulars
C002177,1,Transfer & cash movers
C002183,1,Transfer & cash movers
C002184,3,High-velocity spenders
C002187,1,Transfer & cash movers
C002188,0,Subscription regulars
C002189,1,Transfer & cash movers
C002191,1,Transfer & cash movers
C002194,3,High-velocity spenders
C002195,1,Transfer & cash movers
C002196,0,Subscription regulars
C002197,0,Subscription regulars
C002198,0,Subscription regulars
C002199,3,High-velocity spenders
C002200,3,High-velocity spenders
C002206,1,Transfer & cash movers
C002212,1,Transfer & cash movers
C002215,3,High-velocity spenders
C002216,3,High-velocity spenders
C002218,3,High-velocity spenders
C002222,1,Transfer & cash movers
C002227,3,High-velocity spenders
C002232,0,Subscription regulars
C002234,2,Low-key everyday users
C002235,1,Transfer & cash movers
C002236,3,High-velocity spenders
C002238,1,Transfer & cash movers
C002241,3,High-velocity spenders
C002242,3,High-velocity spenders
C002243,0,Subscription regulars
C002245,1,Transfer & cash movers
C002247,3,High-velocity spenders
C002250,3,High-velocity spenders
C002251,1,Transfer & cash movers
C002256,2,Low-key everyday users
C002261,0,Subscription regulars
C002265,1,Transfer & cash movers
C002266,0,Subscription regulars
C002274,2,Low-key everyday users
C002275,0,Subscription regulars
C002276,1,Transfer & cash movers
C002277,1,Transfer & cash movers
C002278,1,Transfer & cash movers
C002280,1,Transfer & cash movers
C002281,0,Subscription regulars
C002282,0,Subscription regulars
C002285,3,High-velocity spenders
C002286,0,Subscription regulars
C002288,3,High-velocity spenders
C002291,1,Transfer & cash movers
C002292,0,Subscription regulars
C002293,1,Transfer & cash movers
C002294,0,Subscription regulars
C002296,3,High-velocity spenders
C002297,0,Subscription regulars
C002299,0,Subscription regulars
C002300,3,High-velocity spenders
C002301,0,Subscription regulars
C002303,0,Subscription regulars
C002304,1,Transfer & cash movers
C002307,2,Low-key everyday users
C002310,1,Transfer & cash movers
C002311,1,Transfer & cash movers
C002312,0,Subscription regulars
C002313,2,Low-key everyday users
C002316,1,Transfer & cash movers
C002318,0,Subscription regulars
C002320,3,High-velocity spenders
C002321,0,Subscription regulars
C002323,1,Transfer & cash movers
C002331,2,Low-key everyday users
C002333,3,High-velocity spenders
C002335,1,Transfer & cash movers
C002338,1,Transfer & cash movers
C002346,1,Transfer & cash movers
C002349,2,Low-key everyday users
C002351,0,Subscription regulars
C002353,0,Subscription regulars
C002354,0,Subscription regulars
C002355,3,High-velocity spenders
C002358,0,Subscription regulars
C002360,0,Subscription regulars
C002361,1,Transfer & cash movers
C002362,3,High-velocity spenders
C002363,3,High-velocity spenders
C002365,1,Transfer & cash movers
C002366,3,High-velocity spenders
C002367,3,High-velocity spenders
C002368,1,Transfer & cash movers
C002370,1,Transfer & cash movers
C002371,1,Transfer & cash movers
C002372,0,Subscription regulars
C002373,0,Subscription regulars
C002375,3,High-velocity spenders
C002376,3,High-velocity spenders
C002378,1,Transfer & cash movers
C002379,1,Transfer & cash movers
C002380,1,Transfer & cash movers
C002382,1,Transfer & cash movers
C002386,0,Subscription regulars
C002388,0,Subscription regulars
C002389,1,Transfer & cash movers
C002394,0,Subscription regulars
C002395,3,High-velocity spenders
C002397,1,Transfer & cash movers
C002398,1,Transfer & cash movers
C002399,1,Transfer & cash movers
C002401,1,Transfer & cash movers
C002402,1,Transfer & cash movers
C002404,1,Transfer & cash movers
C002405,2,Low-key everyday users
C002406,3,High-velocity spenders
C002413,2,Low-key everyday users
C002414,1,Transfer & cash movers
C002419,1,Transfer & cash movers
C002421,3,High-velocity spenders
C002424,2,Low-key everyday users
C002426,1,Transfer & cash movers
C002428,2,Low-key everyday users
C002429,0,Subscription regulars
C002430,0,Subscription regulars
C002431,1,Transfer & cash movers
C002438,2,Low-key everyday users
C002439,0,Subscription regulars
C002441,1,Transfer & cash movers
C002442,3,High-velocity spenders
C002448,1,Transfer & cash movers
C002449,1,Transfer & cash movers
C002450,0,Subscription regulars
C002451,3,High-velocity spenders
C002452,3,High-velocity spenders
C002456,0,Subscription regulars
C002457,1,Transfer & cash movers
C002458,2,Low-key everyday users
C002460,1,Transfer & cash movers
C002461,3,High-velocity spenders
C002462,2,Low-key everyday users
C002463,3,High-velocity spenders
C002474,3,High-velocity spenders
C002476,1,Transfer & cash movers
C002479,0,Subscription regulars
C002485,0,Subscription regulars
C002488,0,Subscription regulars
C002490,3,High-velocity spenders
C002491,2,Low-key everyday users
C002492,1,Transfer & cash movers
C002493,1,Transfer & cash movers
C002495,0,Subscription regulars
C002498,1,Transfer & cash movers
C002499,3,High-velocity spenders
C002500,2,Low-key everyday users
C002501,3,High-velocity spenders
C002503,3,High-velocity spenders
C002512,3,High-velocity spenders
C002514,3,High-velocity spenders
C002516,2,Low-key everyday users
C002519,2,Low-key everyday users
C002522,1,Transfer & cash movers
C002523,3,High-velocity spenders
C002526,3,High-velocity spenders
C002527,0,Subscription regulars
C002528,3,High-velocity spenders
C002530,0,Subscription regulars
C002531,1,Transfer & cash movers
C002533,2,Low-key everyday users
C002534,3,High-velocity spenders
C002539,1,Transfer & cash movers
C002541,0,Subscription regulars
C002542,1,Transfer & cash movers
C002544,3,High-velocity spenders
C002548,3,High-velocity spenders
C002550,3,High-velocity spenders
C002553,0,Subscription regulars
C002555,0,Subscription regulars
C002559,2,Low-key everyday users
C002563,1,Transfer & cash movers
C002564,3,High-velocity spenders
C002566,0,Subscription regulars
C002567,0,Subscription regulars
C002569,3,High-velocity spenders
C002571,1,Transfer & cash movers
C002573,3,High-velocity spenders
C002581,0,Subscription regulars
C002585,0,Subscription regulars
C002587,2,Low-key everyday users
C002590,0,Subscription regulars
C002594,0,Subscription regulars
C002595,0,Subscription regulars
C002599,2,Low-key everyday users
C002606,1,Transfer & cash movers
C002608,0,Subscription regulars
C002610,0,Subscription regulars
C002611,3,High-velocity spenders
C002612,1,Transfer & cash movers
C002615,0,Subscription regulars
C002617,1,Transfer & cash movers
C002620,0,Subscription regulars
C002621,0,Subscription regulars
C002622,3,High-velocity spenders
C002623,3,High-velocity spenders
C002625,2,Low-key everyday users
C002626,3,High-velocity spenders
C002627,1,Transfer & cash movers
C002628,1,Transfer & cash movers
C002629,1,Transfer & cash movers
C002634,1,Transfer & cash movers
C002635,1,Transfer & cash movers
C002636,0,Subscription regulars
C002637,0,Subscription regulars
C002638,3,High-velocity spenders
C002642,3,High-velocity spenders
C002643,0,Subscription regulars
C002644,0,Subscription regulars
C002647,0,Subscription regulars
C002649,2,Low-key everyday users
C002650,2,Low-key everyday users
C002653,3,High-velocity spenders
C002655,1,Transfer & cash movers
C002656,0,Subscription regulars
C002657,3,High-velocity spenders
C002660,0,Subscription regulars
C002663,1,Transfer & cash movers
C002665,0,Subscription regulars
C002666,3,High-velocity spenders
C002667,1,Transfer & cash movers
C002668,3,High-velocity spenders
C002671,0,Subscription regulars
C002677,1,Transfer & cash movers
C002678,1,Transfer & cash movers
C002680,3,High-velocity spenders
C002683,2,Low-key everyday users
C002686,0,Subscription regulars
C002687,1,Transfer & cash movers
C002688,2,Low-key everyday users
C002689,3,High-velocity spenders
C002692,3,High-velocity spenders
C002694,0,Subscription regulars
C002696,1,Transfer & cash movers
C002697,0,Subscription regulars
C002698,1,Transfer & cash movers
C002699,3,High-velocity spenders
C002700,0,Subscription regulars
C002703,0,Subscription regulars
C002705,2,Low-key everyday users
C002707,1,Transfer & cash movers
C002714,3,High-velocity spenders
C002715,3,High-velocity spenders
C002719,3,High-velocity spenders
C002720,1,Transfer & cash movers
C002721,0,Subscription regulars
C002725,0,Subscription regulars
C002729,2,Low-key everyday users
C002731,0,Subscription regulars
C002733,0,Subscription regulars
C002734,3,High-velocity spenders
C002736,1,Transfer & cash movers
C002737,3,High-velocity spenders
C002738,3,High-velocity spenders
C002739,1,Transfer & cash movers
C002740,0,Subscription regulars
C002742,3,High-velocity spenders
C002746,1,Transfer & cash movers
C002747,1,Transfer & cash movers
C002749,1,Transfer & cash movers
C002751,1,Transfer & cash movers
C002753,1,Transfer & cash movers
C002755,1,Transfer & cash movers
C002757,3,High-velocity spenders
C002758,1,Transfer & cash movers
C002760,3,High-velocity spenders
C002762,3,High-velocity spenders
C002764,0,Subscription regulars
C002767,3,High-velocity spenders
C002768,2,Low-key everyday users
C002769,3,High-velocity spenders
C002771,3,High-velocity spenders
C002772,1,Transfer & cash movers
C002773,0,Subscription regulars
C002775,0,Subscription regulars
C002779,3,High-velocity spenders
C002780,1,Transfer & cash movers
C002786,1,Transfer & cash movers
C002788,1,Transfer & cash movers
C002793,1,Transfer & cash movers
C002794,1,Transfer & cash movers
C002795,1,Transfer & cash movers
C002796,1,Transfer & cash movers
C002798,3,High-velocity spenders
C002800,3,High-velocity spenders
C002801,0,Subscription regulars
C002802,0,Subscription regulars
C002804,2,Low-key everyday users
C002805,2,Low-key everyday users
C002808,3,High-velocity spenders
C002809,1,Transfer & cash movers
C002810,1,Transfer & cash movers
C002812,0,Subscription regulars
C002813,1,Transfer & cash movers
C002814,0,Subscription regulars
C002816,3,High-velocity spenders
C002817,0,Subscription regulars
C002820,0,Subscription regulars
C002821,0,Subscription regulars
C002822,2,Low-key everyday users
C002826,3,High-velocity spenders
C002829,3,High-velocity spenders
C002834,0,Subscription regulars
C002836,2,Low-key everyday users
C002838,0,Subscription regulars
C002839,0,Subscription regulars
C002840,2,Low-key everyday users
C002842,0,Subscription regulars
C002843,3,High-velocity spenders
C002844,1,Transfer & cash movers
C002846,1,Transfer & cash movers
C002847,1,Transfer & cash movers
C002849,0,Subscription regulars
C002851,1,Transfer & cash movers
C002852,3,High-velocity spenders
C002853,0,Subscription regulars
C002855,0,Subscription regulars
C002856,0,Subscription regulars
C002859,3,High-velocity spenders
C002861,0,Subscription regulars
C002862,0,Subscription regulars
C002863,2,Low-key everyday users
C002866,3,High-velocity spenders
C002869,3,High-velocity spenders
C002870,1,Transfer & cash movers
C002871,3,High-velocity spenders
C002876,1,Transfer & cash movers
C002877,0,Subscription regulars
C002879,3,High-velocity spenders
C002880,1,Transfer & cash movers
C002883,3,High-velocity spenders
C002884,3,High-velocity spenders
C002885,0,Subscription regulars
C002889,3,High-velocity spenders
C002890,0,Subscription regulars
C002891,3,High-velocity spenders
C002892,1,Transfer & cash movers
C002894,2,Low-key everyday users
C002895,1,Transfer & cash movers
C002896,0,Subscription regulars
C002898,3,High-velocity spenders
C002899,1,Transfer & cash movers
C002900,1,Transfer & cash movers
C002902,0,Subscription regulars
C002903,3,High-velocity spenders
C002907,2,Low-key everyday users
C002908,3,High-velocity spenders
C002909,1,Transfer & cash movers
C002910,1,Transfer & cash movers
C002912,3,High-velocity spenders
C002913,3,High-velocity spenders
C002916,3,High-velocity spenders
C002918,0,Subscription regulars
C002919,0,Subscription regulars
C002920,3,High-velocity spenders
C002924,0,Subscription regulars
C002926,3,High-velocity spenders
C002927,3,High-velocity spenders
C002928,0,Subscription regulars
C002931,0,Subscription regulars
C002932,0,Subscription regulars
C002934,0,Subscription regulars
C002935,3,High-velocity spenders
C002940,3,High-velocity spenders
C002941,3,High-velocity spenders
C002942,0,Subscription regulars
C002943,1,Transfer & cash movers
C002948,0,Subscription regulars
C002953,0,Subscription regulars
C002955,1,Transfer & cash movers
C002957,1,Transfer & cash movers
C002958,1,Transfer & cash movers
C002964,1,Transfer & cash movers
C002966,3,High-velocity spenders
C002967,3,High-velocity spenders
C002970,1,Transfer & cash movers
C002971,1,Transfer & cash movers
C002973,3,High-velocity spenders
C002975,2,Low-key everyday users
C002977,0,Subscription regulars
C002987,0,Subscription regulars
C002988,1,Transfer & cash movers
C002989,0,Subscription regulars
C002990,3,High-velocity spenders
C002994,0,Subscription regulars
C002996,1,Transfer & cash movers
C002998,1,Transfer & cash movers
C002999,2,Low-key everyday users
C003001,3,High-velocity spenders
C003004,1,Transfer & cash movers
C003006,1,Transfer & cash movers
C003007,2,Low-key everyday users
C003008,0,Subscription regulars
C003009,3,High-velocity spenders
C003010,2,Low-key everyday users
C003011,3,High-velocity spenders
C003015,0,Subscription regulars
C003017,2,Low-key everyday users
C003020,3,High-velocity spenders
C003023,0,Subscription regulars
C003024,3,High-velocity spenders
C003025,3,High-velocity spenders
C003026,3,High-velocity spenders
C003031,2,Low-key everyday users
C003034,3,High-velocity spenders
C003035,3,High-velocity spenders
C003037,3,High-velocity spenders
C003038,0,Subscription regulars
C003041,3,High-velocity spenders
C003044,1,Transfer & cash movers
C003046,1,Transfer & cash movers
C003049,3,High-velocity spenders
C003051,1,Transfer & cash movers
C003054,1,Transfer & cash movers
C003058,1,Transfer & cash movers
C003060,3,High-velocity spenders
C003062,0,Subscription regulars
C003065,1,Transfer & cash movers
C003066,0,Subscription regulars
C003067,0,Subscription regulars
C003071,0,Subscription regulars
C003072,0,Subscription regulars
C003073,1,Transfer & cash movers
C003075,0,Subscription regulars
C003076,3,High-velocity spenders
C003079,3,High-velocity spenders
C003083,0,Subscription regulars
C003084,0,Subscription regulars
C003085,0,Subscription regulars
C003086,3,High-velocity spenders
C003095,1,Transfer & cash movers
C003096,3,High-velocity spenders
C003098,1,Transfer & cash movers
C003099,3,High-velocity spenders
C003100,1,Transfer & cash movers
C003106,0,Subscription regulars
C003108,0,Subscription regulars
C003110,1,Transfer & cash movers
C003112,3,High-velocity spenders
C003113,3,High-velocity spenders
C003114,2,Low-key everyday users
C003116,1,Transfer & cash movers
C003118,2,Low-key everyday users
C003119,1,Transfer & cash movers
C003122,1,Transfer & cash movers
C003124,1,Transfer & cash movers
C003126,1,Transfer & cash movers
C003127,3,High-velocity spenders
C003129,3,High-velocity spenders
C003132,1,Transfer & cash movers
C003138,0,Subscription regulars
C003139,3,High-velocity spenders
C003140,3,High-velocity spenders
C003143,0,Subscription regulars
C003144,0,Subscription regulars
C003145,3,High-velocity spenders
C003146,0,Subscription regulars
C003147,3,High-velocity spenders
C003148,0,Subscription regulars
C003149,3,High-velocity spenders
C003150,3,High-velocity spenders
C003152,1,Transfer & cash movers
C003153,1,Transfer & cash movers
C003154,3,High-velocity spenders
C003155,2,Low-key everyday users
C003157,1,Transfer & cash movers
C003160,0,Subscription regulars
C003162,0,Subscription regulars
C003163,3,High-velocity spenders
C003164,1,Transfer & cash movers
C003167,1,Transfer & cash movers
C003176,1,Transfer & cash movers
C003178,3,High-velocity spenders
C003180,3,High-velocity spenders
C003184,3,High-velocity spenders
C003185,2,Low-key everyday users
C003186,2,Low-key everyday users
C003188,0,Subscription regulars
C003189,1,Transfer & cash movers
C003191,0,Subscription regulars
C003194,0,Subscription regulars
C003196,3,High-velocity spenders
C003197,1,Transfer & cash movers
C003198,0,Subscription regulars
C003201,2,Low-key everyday users
C003202,1,Transfer & cash movers
C003203,0,Subscription regulars
C003205,0,Subscription regulars
C003206,0,Subscription regulars
C003210,3,High-velocity spenders
C003211,1,Transfer & cash movers
C003214,0,Subscription regulars
C003216,3,High-velocity spenders
C003217,2,Low-key everyday users
C003218,0,Subscription regulars
C003220,1,Transfer & cash movers
C003223,1,Transfer & cash movers
C003228,3,High-velocity spenders
C003229,1,Transfer & cash movers
C003231,3,High-velocity spenders
C003232,1,Transfer & cash movers
C003233,0,Subscription regulars
C003234,2,Low-key everyday users
C003238,3,High-velocity spenders
C003240,1,Transfer & cash movers
C003242,3,High-velocity spenders
C003243,3,High-velocity spenders
C003244,1,Transfer & cash movers
C003246,1,Transfer & cash movers
C003247,1,Transfer & cash movers
C003248,3,High-velocity spenders
C003249,2,Low-key everyday users
C003250,0,Subscription regulars
C003252,2,Low-key everyday users
C003254,1,Transfer & cash movers
C003256,0,Subscription regulars
C003257,1,Transfer & cash movers
C003259,3,High-velocity spenders
C003260,1,Transfer & cash movers
C003261,0,Subscription regulars
C003266,3,High-velocity spenders
C003268,3,High-velocity spenders
C003270,1,Transfer & cash movers
C003278,0,Subscription regulars
C003280,1,Transfer & cash movers
C003281,1,Transfer & cash movers
C003282,1,Transfer & cash movers
C003283,3,High-velocity spenders
C003285,0,Subscription regulars
C003290,0,Subscription regulars
C003294,0,Subscription regulars
C003295,0,Subscription regulars
C003299,2,Low-key everyday users
C003301,0,Subscription regulars
C003302,3,High-velocity spenders
C003303,1,Transfer & cash movers
C003305,3,High-velocity spenders
C003306,3,High-velocity spenders
C003308,3,High-velocity spenders
C003310,0,Subscription regulars
C003311,1,Transfer & cash movers
C003312,3,High-velocity spenders
C003313,1,Transfer & cash movers
C003315,1,Transfer & cash movers
C003319,0,Subscription regulars
C003322,0,Subscription regulars
C003325,1,Transfer & cash movers
C003326,0,Subscription regulars
C003327,3,High-velocity spenders
C003330,0,Subscription regulars
C003332,3,High-velocity spenders
C003333,2,Low-key everyday users
C003334,3,High-velocity spenders
C003338,2,Low-key everyday users
C003339,0,Subscription regulars
C003340,2,Low-key everyday users
C003342,0,Subscription regulars
C003343,1,Transfer & cash movers
C003345,1,Transfer & cash movers
C003346,1,Transfer & cash movers
C003347,0,Subscription regulars
C003348,3,High-velocity spenders
C003349,1,Transfer & cash movers
C003352,1,Transfer & cash movers
C003354,1,Transfer & cash movers
C003355,1,Transfer & cash movers
C003356,1,Transfer & cash movers
C003357,2,Low-key everyday users
C003359,1,Transfer & cash movers
C003361,3,High-velocity spenders
C003362,3,High-velocity spenders
C003364,3,High-velocity spenders
C003365,3,High-velocity spenders
C003371,3,High-velocity spenders
C003372,3,High-velocity spenders
C003373,0,Subscription regulars
C003374,1,Transfer & cash movers
C003375,3,High-velocity spenders
C003376,3,High-velocity spenders
C003378,3,High-velocity spenders
C003381,2,Low-key everyday users
C003382,1,Transfer & cash movers
C003383,1,Transfer & cash movers
C003385,2,Low-key everyday users
C003386,1,Transfer & cash movers
C003387,2,Low-key everyday users
C003388,3,High-velocity spenders
C003392,1,Transfer & cash movers
C003393,0,Subscription regulars
C003396,1,Transfer & cash movers
C003398,1,Transfer & cash movers
C003399,0,Subscription regulars
C003400,1,Transfer & cash movers
C003401,1,Transfer & cash movers
C003403,0,Subscription regulars
C003404,3,High-velocity spenders
C003405,2,Low-key everyday users
C003406,2,Low-key everyday users
C003408,0,Subscription regulars
C003409,0,Subscription regulars
C003412,1,Transfer & cash movers
C003414,3,High-velocity spenders
C003419,0,Subscription regulars
C003420,3,High-velocity spenders
C003421,1,Transfer & cash movers
C003422,1,Transfer & cash movers
C003423,1,Transfer & cash movers
C003428,1,Transfer & cash movers
C003430,0,Subscription regulars
C003431,3,High-velocity spenders
C003435,0,Subscription regulars
C003437,1,Transfer & cash movers
C003446,0,Subscription regulars
C003447,1,Transfer & cash movers
C003448,3,High-velocity spenders
C003449,3,High-velocity spenders
C003453,0,Subscription regulars
C003455,1,Transfer & cash movers
C003456,0,Subscription regulars
C003457,3,High-velocity spenders
C003460,2,Low-key everyday users
C003462,0,Subscription regulars
C003466,2,Low-key everyday users
C003468,0,Subscription regulars
C003469,2,Low-key everyday users
C003470,1,Transfer & cash movers
C003472,0,Subscription regulars
C003473,0,Subscription regulars
C003474,3,High-velocity spenders
C003475,0,Subscription regulars
C003478,0,Subscription regulars
C003479,3,High-velocity spenders
C003481,0,Subscription regulars
C003482,3,High-velocity spenders
C003484,0,Subscription regulars
C003487,0,Subscription regulars
C003488,0,Subscription regulars
C003489,0,Subscription regulars
C003490,0,Subscription regulars
C003491,0,Subscription regulars
C003492,1,Transfer & cash movers
C003493,1,Transfer & cash movers
C003494,3,High-velocity spenders
C003496,0,Subscription regulars
C003497,1,Transfer & cash movers
C003498,0,Subscription regulars
C003504,2,Low-key everyday users
C003506,0,Subscription regulars
C003507,0,Subscription regulars
C003508,1,Transfer & cash movers
C003510,3,High-velocity spenders
C003514,3,High-velocity spenders
C003515,3,High-velocity spenders
C003516,1,Transfer & cash movers
C003517,0,Subscription regulars
C003518,0,Subscription regulars
C003520,3,High-velocity spenders
C003521,3,High-velocity spenders
C003522,0,Subscription regulars
C003526,0,Subscription regulars
C003528,1,Transfer & cash movers
C003529,3,High-velocity spenders
C003531,0,Subscription regulars
C003532,0,Subscription regulars
C003534,0,Subscription regulars
C003537,0,Subscription regulars
C003540,0,Subscription regulars
C003542,3,High-velocity spenders
C003543,0,Subscription regulars
C003544,3,High-velocity spenders
C003546,0,Subscription regulars
C003549,2,Low-key everyday users
C003550,2,Low-key everyday users
C003553,3,High-velocity spenders
C003558,1,Transfer & cash movers
C003559,3,High-velocity spenders
C003562,2,Low-key everyday users
C003563,3,High-velocity spenders
C003567,3,High-velocity spenders
C003569,2,Low-key everyday users
C003570,1,Transfer & cash movers
C003573,0,Subscription regulars
C003576,1,Transfer & cash movers
C003577,1,Transfer & cash movers
C003579,3,High-velocity spenders
C003580,1,Transfer & cash movers
C003585,1,Transfer & cash movers
C003586,0,Subscription regulars
C003590,1,Transfer & cash movers
C003591,0,Subscription regulars
C003593,1,Transfer & cash movers
C003594,1,Transfer & cash movers
C003595,1,Transfer & cash movers
C003596,3,High-velocity spenders
C003597,0,Subscription regulars
C003598,2,Low-key everyday users
C003599,2,Low-key everyday users
C003600,1,Transfer & cash movers
C003607,0,Subscription regulars
C003609,1,Transfer & cash movers
C003612,1,Transfer & cash movers
C003613,2,Low-key everyday users
C003614,0,Subscription regulars
C003617,3,High-velocity spenders
C003619,0,Subscription regulars
C003621,1,Transfer & cash movers
C003623,1,Transfer & cash movers
C003624,1,Transfer & cash movers
C003626,3,High-velocity spenders
C003629,1,Transfer & cash movers
C003631,0,Subscription regulars
C003634,3,High-velocity spenders
C003635,3,High-velocity spenders
C003636,2,Low-key everyday users
C003638,3,High-velocity spenders
C003639,3,High-velocity spenders
C003640,3,High-velocity spenders
C003642,2,Low-key everyday users
C003647,3,High-velocity spenders
C003648,2,Low-key everyday users
C003649,2,Low-key everyday users
C003652,1,Transfer & cash movers
C003653,0,Subscription regulars
C003654,3,High-velocity spenders
C003658,2,Low-key everyday users
C003659,0,Subscription regulars
C003660,1,Transfer & cash movers
C003661,1,Transfer & cash movers
C003662,0,Subscription regulars
C003663,0,Subscription regulars
C003664,1,Transfer & cash movers
C003666,0,Subscription regulars
C003667,1,Transfer & cash movers
C003669,3,High-velocity spenders
C003672,1,Transfer & cash movers
C003676,3,High-velocity spenders
C003677,3,High-velocity spenders
C003684,0,Subscription regulars
C003687,0,Subscription regulars
C003689,1,Transfer & cash movers
C003690,3,High-velocity spenders
C003693,2,Low-key everyday users
C003696,3,High-velocity spenders
C003697,0,Subscription regulars
C003698,0,Subscription regulars
C003699,0,Subscription regulars
C003700,2,Low-key everyday users
C003708,3,High-velocity spenders
C003710,2,Low-key everyday users
C003715,3,High-velocity spenders
C003716,0,Subscription regulars
C003717,3,High-velocity spenders
C003718,1,Transfer & cash movers
C003719,1,Transfer & cash movers
